line	trial	thousand_kernel_weight
'ALHAMA|PI490397'	GRINcore_2009_Lab_Aberdeen	28.1
'ALHAMA|PI490398'	GRINcore_2009_Lab_Aberdeen	26.4
'ALHAMA|PI490399'	GRINcore_2009_Lab_Aberdeen	28.1
'ALKAMU_BERI|PI490400'	GRINcore_2009_Lab_Aberdeen	25.8
'ALKAMU_BERI|PI490401'	GRINcore_2009_Lab_Aberdeen	27.1
'ALKAMU_BERI|PI490402'	GRINcore_2009_Lab_Aberdeen	26.9
'ALKAMU_TIRE'	GRINcore_2009_Lab_Aberdeen	26.5
'KOIRA_ALKUNA'	GRINcore_2009_Lab_Aberdeen	28.1
'PK15896'	GRINcore_2009_Lab_Aberdeen	40.6
'HR48'	GRINcore_2009_Lab_Aberdeen	34.3
'ZFA3629'	GRINcore_2009_Lab_Aberdeen	43.4
'KU1521'	GRINcore_2009_Lab_Aberdeen	47.3
'KU1523'	GRINcore_2009_Lab_Aberdeen	33.8
'KU1630'	GRINcore_2009_Lab_Aberdeen	32.7
'KU1806'	GRINcore_2009_Lab_Aberdeen	37.9
'RED_STAR'	GRINcore_2009_Lab_Aberdeen	47.9
'KARLIK1'	GRINcore_2009_Lab_Aberdeen	39.8
'V764-1-J3-B2-J-3'	GRINcore_2009_Lab_Aberdeen	48
'V764-14-J2-B2-J2'	GRINcore_2009_Lab_Aberdeen	41.3
'V879-B2-B12-J2'	GRINcore_2009_Lab_Aberdeen	42.3
'V882-F22-F2-F3-F2-J2'	GRINcore_2009_Lab_Aberdeen	39.2
'1108/83'	GRINcore_2009_Lab_Aberdeen	46
'1115/83'	GRINcore_2009_Lab_Aberdeen	39.7
'1117/83'	GRINcore_2009_Lab_Aberdeen	41.3
'1150/83'	GRINcore_2009_Lab_Aberdeen	30.6
'1335/83'	GRINcore_2009_Lab_Aberdeen	32.1
'DONJON'	GRINcore_2009_Lab_Aberdeen	36.5
'CH4_301-7'	GRINcore_2009_Lab_Aberdeen	43.8
'MARIS_BEACON'	GRINcore_2009_Lab_Aberdeen	54.2
'68F6679'	GRINcore_2009_Lab_Aberdeen	39.8
'68F6691'	GRINcore_2009_Lab_Aberdeen	37.5
'P8045-78'	GRINcore_2009_Lab_Aberdeen	45.5
'N-1254-5C-2C-2C'	GRINcore_2009_Lab_Aberdeen	31.6
'FUNDULEA7-71'	GRINcore_2009_Lab_Aberdeen	43.3
'FUNDULEA11-71'	GRINcore_2009_Lab_Aberdeen	40.2
'L227-H3'	GRINcore_2009_Lab_Aberdeen	41.8
'SORT12-13'	GRINcore_2009_Lab_Aberdeen	40.6
'WA74-18795'	GRINcore_2009_Lab_Aberdeen	35.6
'SORT11-32-1145'	GRINcore_2009_Lab_Aberdeen	39.9
'TR134-87'	GRINcore_2009_Lab_Aberdeen	46.9
'P4821-80'	GRINcore_2009_Lab_Aberdeen	41.7
'IPPO26'	GRINcore_2009_Lab_Aberdeen	50.9
